id,name,acronym,cnpj
1,Universidade Federal de São Paulo,UNIFESP,60.453.032/0001-74 
2,Universidade Federal de Uberlândia,UFU,25.648.387/0001-18
3,Universidade Federal da Grande Dourado,UFGD,07.775.847/0001-97
4,Universidade Federal do Mato Grosso do Sul,UFMS,15.461.510/0001-33
5,Universidade Federal de Pernambuco,UFPE,24.134.488/0001-08
6,Universidade Federal do Cariri,UFCA,18.621.825/0001-99
7,Universidade Federal de Rondônia,Unir,04.418.943/0001-90
8,Universidade Federal do Oeste do Pará,UFOPA,11.118.393/0001-59
9,Universidade Federal de Santa Catarina,UFSC,83.899.526/0001-82
10,Universidade Tecnológica Federal do Paraná,UTFPR,75.101.873/0008-66